Linear Regression,Non-Linear Regression 1,Non-Linear Regression 2
-4114.153818168467,-4215.385437011719,-4580.200417033848
-3806.0503918337777,-3952.460289001465,-4187.233266495842
-4126.4218045197495,-3744.7586059570312,-4463.508261220434
-4146.759112686072,-3588.475227355957,-4500.48209424663
-3788.7500432373363,-3358.9439392089844,-4140.137981918957
-3376.4599203860475,-3125.438690185547,-3746.028409007016
-2728.1574268706786,-2481.6226959228516,-3068.601636756456
-1745.8008879775164,-1423.722267150879,-2122.9958269565836
-1535.9041602611176,-1254.7788619995117,-1918.0425324815683
-1441.3002333700797,-1173.3856201171875,-1984.886944352367
-1770.244441277404,-1546.7205047607422,-2390.7475577295922
-1680.9588847965865,-1354.4769287109375,-2309.9120507503917
-1489.5656811440417,-1158.797264099121,-2154.5294997158426
-1376.3977414566077,-1034.5687866210938,-2042.2657386995918
-1282.1442174193883,-909.5163345336914,-1972.0555633980985
-1165.2512045181295,-789.2246246337891,-1891.9077110744824
-1140.6114739386403,-764.8773193359375,-1904.160509803362
-1116.9131595625422,-773.1313705444336,-1921.796516741448
-1287.0126826712306,-965.7611846923828,-2116.530296231005
-1133.7842198069159,-796.3142395019531,-1949.794587955801
-964.4528839986351,-601.4614105224609,-1749.200438171287
-953.6436418504492,-630.3491592407227,-1794.5705195631551
-1030.7265214742602,-640.5229568481445,-1854.8280997639106
-645.9513654987747,-351.54247283935547,-1487.0929080997037
-663.7389397694899,-403.6417007446289,-1553.0462024728934
-692.9683336078323,-429.43382263183594,-1458.6088228654737
-598.2322549492537,-375.36048889160156,-1261.3002990823995
-615.374449718877,-407.9275131225586,-1224.2919985633923
-148.32269479934826,-63.983917236328125,-667.56129105251
-258.6109849334658,-76.95579528808594,-913.1498632472485
-743.3490062157287,-356.05716705322266,-1480.998396784831
-584.2870368037218,-234.7240447998047,-1484.0965380588955
-381.07535443011,-108.61873626708984,-1250.0067001461553
-726.7171456822755,-358.74366760253906,-1700.4308810723142
-1416.340250151236,-1098.5784530639648,-2400.181664772292
-2021.2731747684863,-1915.3318405151367,-3050.2916517914173
-1491.0194869544673,-1230.2112579345703,-2399.844188209028
-1859.4901348322423,-1869.924545288086,-2711.0492376951374
-1542.279424127619,-1406.876564025879,-2382.622356325824
-1996.0544129254001,-1959.9409103393555,-2861.9061795798534
-1955.1975233065411,-1963.5772705078125,-2790.4658939279657
-1760.980719456138,-1565.342903137207,-2631.7192797026723
-1576.9893258615054,-1322.739601135254,-2532.9997499810124
-2072.0646108439487,-1988.9087677001953,-3059.4778624530377
-1937.1386448417147,-1775.4020690917969,-2930.702558085785
-1948.026325136383,-1784.8634719848633,-2957.7216313334866
-2655.9231200036893,-2809.1554641723633,-3697.513291268717
-2461.7251140556345,-2511.7263793945312,-3480.3551407324526
-2529.6532573327427,-2598.475456237793,-3539.6517886971674
-2651.7515228864663,-2729.633331298828,-3613.5341328860172
-3081.495312698696,-3308.5927963256836,-4065.585317663701
-3164.174840507993,-3471.0845947265625,-4122.847279506354
-3070.604355853479,-3467.4253463745117,-3937.0374495020715
-2946.039079299615,-3340.2271270751953,-3775.0398961772603
-3346.7915183422356,-3820.7015991210938,-4199.45237694922
-3563.9070965368246,-4028.5348892211914,-4395.215526271607
-3388.963947608962,-3874.932289123535,-4172.171845015591
-3609.764731590268,-4090.9481048583984,-4404.549300035864
-3356.3711855412557,-3838.088035583496,-4062.7113310324526
-3586.1130298142484,-4075.0064849853516,-4277.781899664187
-4042.414161311009,-4426.480293273926,-4743.254567654828
-4329.0305991446985,-4431.673049926758,-4982.099351321996
-4427.669993519972,-4530.275344848633,-5111.872077537776
-4861.811214729069,-4676.055908203125,-5656.811062384225
-4554.517920624236,-4684.430122375488,-5358.230728280033
-5457.370754600507,-4839.686393737793,-6339.8062387500995
-5446.701242850296,-4802.009582519531,-6254.826680358753
-5919.146057055087,-4631.964683532715,-6711.767971674675
-5249.6825218004,-4622.065544128418,-5937.4790196480435
-4039.8896708648517,-3974.2841720581055,-4589.8265263614085
-3147.798746074105,-2748.7993240356445,-3521.59872128354
-2947.3143506490214,-2460.5369567871094,-3452.27035210748
-3066.5670365450555,-2524.51229095459,-3645.049749332482
-2670.4573646703816,-2337.3985290527344,-3381.0298050055
-4247.094700828399,-3552.886962890625,-5044.870895239559
-4113.36335125784,-3504.286766052246,-4816.2978915114545
-3639.1763223010275,-2985.8179092407227,-4234.5860272213695
-3170.043617908797,-2640.6726837158203,-3716.1370828644567
-2839.208054542044,-2311.786651611328,-3387.5820553949716
-1842.661339938091,-1409.6317291259766,-2397.8181620033065
-1821.240419835034,-1452.9247283935547,-2402.1212468094946
-1766.6657680252179,-1428.812026977539,-2483.4168980608883
-1628.2390939599209,-1197.4210739135742,-2363.410715829311
-1080.14006605015,-640.6974792480469,-1754.1978990378723
-2041.5798814276982,-1619.9569702148438,-2839.564834821623
-966.7822554008158,-577.056884765625,-1739.5870240322167
-1112.9298798144312,-746.7212677001953,-1911.2833663545944
-694.5670242042405,-353.7569046020508,-1514.4447268272959
-780.5947000849769,-401.22413635253906,-1554.94567714933
-1424.0177025360456,-1065.3104782104492,-2312.730105780071
-1086.416196532461,-685.089111328125,-1922.5521200265391
-1063.6411373292337,-669.1474914550781,-1882.4574544958066
-1020.7564512729658,-608.7398529052734,-1794.5495355227958
-895.9525826942679,-466.59278869628906,-1645.4620522104979
-840.1040280045713,-413.48934173583984,-1610.7199762209107
-590.9861102798352,-297.90401458740234,-1432.9626254323896
-352.5003980756527,-103.1198501586914,-1153.8556899885484
-722.8209601506331,-498.02398681640625,-1520.420083205519
-630.3866269939762,-425.05645751953125,-1273.7062663120028
-1137.833927319147,-1004.6854019165039,-1783.7816469994748
-1570.0716175253422,-1461.9998931884766,-2277.091896294838
-2144.9127597311167,-2291.1300659179688,-2874.730979507007
-2170.555702918659,-2369.439125061035,-2892.397315769578
-1510.5370518573404,-1303.8654327392578,-2317.020812683892
-1840.010314294404,-1832.9572677612305,-2595.9247755458186
-1887.025439543848,-1892.6267623901367,-2516.40139415265
-1983.2709561313459,-2083.4712982177734,-2630.971916960252
-2350.213785025218,-2513.8378143310547,-2989.2040710409883
-2241.8287771932987,-2467.0486450195312,-2869.890544191495
-2796.4835997198334,-3212.465286254883,-3431.1237997006274
-2891.5812914337703,-3332.622528076172,-3517.8313477240363
-2973.4647723665985,-3419.5547103881836,-3594.8601953548673
-3017.287195995953,-3474.660873413086,-3679.427598765225
-3104.482177805617,-3569.6725845336914,-3814.628380138936
-3107.8137183952617,-3567.04044342041,-3881.451505290865
-3503.4714936691585,-3984.5895767211914,-4329.2438514515625
-3307.603317801643,-3782.255172729492,-4125.334440808404
-3163.8229260074017,-3629.9943923950195,-4008.2149138847935
-3132.2073992775327,-3563.6816024780273,-4049.9870855912286
-3291.675584272423,-3715.0497436523438,-4211.2368135000415
-3560.8980002233884,-3953.9737701416016,-4510.695247017142
-3615.2374905039756,-4018.589973449707,-4545.2105701196415
-3689.806104104635,-4061.931610107422,-4603.9065367703
-3690.016337886416,-4065.6166076660156,-4603.301248367647
-3604.451040290121,-3991.7078018188477,-4532.980200419971
-3434.7397707865543,-3738.9163970947266,-4369.112538453176
-3248.248294023365,-3492.513656616211,-4189.6627172998815
-3151.248419448582,-3379.262924194336,-4076.521897641749
-3459.955433032219,-3779.5000076293945,-4432.9500210482765
-3989.072660391149,-4258.066177368164,-4967.983827725917
-4088.379875747096,-4350.1081466674805,-5073.950523090399
-4141.691533706382,-4414.506912231445,-5160.616977824897
-4316.815097234339,-4591.135025024414,-5392.715330091235
-4466.158674623573,-4589.4670486450195,-5453.709987706328
-4763.676884009273,-4664.829254150391,-5576.696094538554
-4406.736171749201,-4582.792282104492,-5215.586359735118
-4393.169169478535,-4443.20011138916,-5240.554580408194
-4263.55603014588,-4335.076332092285,-5187.714975363583
-4239.790369446379,-4266.162872314453,-5228.329731704877
-3534.58261426007,-3674.6606826782227,-4541.565124295332
-3614.5881706356704,-3405.841827392578,-4575.02085842585
-2960.3380041779455,-2724.8268127441406,-3921.525816756513
-3597.6900064096144,-3252.960205078125,-4681.170266295589
-3178.7611944231962,-2887.6476287841797,-4217.952620186939
-3031.0243840908497,-2807.0125579833984,-4092.21049565531
-3672.824163388939,-3040.620803833008,-4648.739255336522
-3635.694355931054,-2958.314895629883,-4550.4992228502
-4325.910813114993,-3580.8963775634766,-5218.037733092297
-4529.427617954441,-3892.1499252319336,-5355.1098862281415
-3588.9394945632835,-2930.0079345703125,-4402.664286043012
-2986.121760752034,-2423.4352111816406,-3766.129155879058
-2688.284268239175,-2142.634391784668,-3516.347442724189
-2974.811003643782,-2414.116859436035,-3822.3509865675005
-3230.525100066122,-2582.51953125,-4111.631121995127
-3390.1593940342764,-2745.8925247192383,-4356.424066675449
-3536.5712683774796,-2874.784469604492,-4523.665941681329
-3558.357347336523,-2911.648750305176,-4552.752589827633
-3150.3236873038,-2494.8205947875977,-4112.005257536092
-2565.958943173261,-1973.3333587646484,-3514.973710254957
-2381.889837531972,-1904.0851593017578,-3378.0405155996054
-2686.554884231352,-2101.607322692871,-3674.6079802593763
-2566.072866860272,-1948.8229751586914,-3525.2614121578013
-2895.5358230138363,-2276.644706726074,-3891.2567525994896
-2714.517744527622,-2138.917922973633,-3721.10880066104
-3218.0900533046065,-2571.2499618530273,-4237.975691710649
-2672.063549671894,-2120.467185974121,-3704.171807748642
-2629.6197602490483,-2052.6294708251953,-3651.5258285119794
-2381.618946172821,-1756.307601928711,-3360.7299068327497
-2562.6413961045255,-1929.642677307129,-3507.1453644095627
-2948.6172167066293,-2317.122459411621,-3798.1287582468726
-3660.656102158604,-3118.008613586426,-4482.329784934643
